# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:u'
# Event count (approx.): 811001034058
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
    75.89%  spindec  libgomp.so.1.0.0                [.] omp_get_num_procs
     5.54%  spindec  libgcc_s.so.1                   [.] __powidf2
     3.27%  spindec  spindec                         [.] __potentials_MOD_bulk_potential._omp_fn.0
     3.10%  spindec  spindec                         [.] __free_energy_MOD_bulk_free_energy._omp_fn.0
     3.02%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.4
     1.39%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.4
     1.20%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new._omp_fn.0
     1.06%  spindec  spindec                         [.] __powidf2@plt
     0.99%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.4
     0.82%  spindec  spindec                         [.] MAIN__
     0.58%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx._omp_fn.1
     0.48%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility._omp_fn.2
     0.30%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dy._omp_fn.1
     0.27%  spindec  libc.so.6                       [.] __nss_database_lookup
     0.26%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx._omp_fn.1
     0.26%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy._omp_fn.1
     0.18%  spindec  libnetcdf.so.19                 [.] ncx_putn_ulonglong_ulonglong
     0.16%  spindec  spindec                         [.] __comms_MOD_comms_get_global_grid
     0.16%  spindec  libgomp.so.1.0.0                [.] omp_fulfill_event
     0.14%  spindec  spindec                         [.] __potentials_MOD_bulk_potential
     0.14%  spindec  [unknown]                       [k] 0xffffffff89a010a7
     0.10%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.2
     0.10%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx._omp_fn.0
     0.03%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx._omp_fn.0
     0.03%  spindec  [unknown]                       [k] 0xffffffff89a00158
     0.03%  spindec  libgomp.so.1.0.0                [.] GOMP_single_copy_end
     0.03%  spindec  libgomp.so.1.0.0                [.] omp_get_num_threads
     0.03%  spindec  libnetcdf.so.19                 [.] fill_NC_var
     0.02%  spindec  libc.so.6                       [.] __libc_alloca_cutoff
