# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 395K of event 'cycles:u'
# Event count (approx.): 223703469592
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
    25.03%  spindec  mca_btl_vader.so                [.] mca_btl_vader_component_progress
    13.81%  spindec  libgcc_s.so.1                   [.] __powidf2
     9.79%  spindec  libopen-pal.so.40.30.2          [.] opal_progress
     7.98%  spindec  spindec                         [.] __free_energy_MOD_bulk_free_energy._omp_fn.0
     6.92%  spindec  spindec                         [.] __potentials_MOD_bulk_potential._omp_fn.0
     4.59%  spindec  mca_coll_libnbc.so              [.] ompi_coll_libnbc_progress
     2.84%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.4
     2.71%  spindec  spindec                         [.] __powidf2@plt
     2.40%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.4
     2.06%  spindec  libopen-pal.so.40.30.2          [.] opal_timer_linux_get_cycles_sys_timer
     2.05%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new._omp_fn.0
     1.83%  spindec  spindec                         [.] __free_energy_MOD_total_free_energy._omp_fn.4
     1.80%  spindec  spindec                         [.] MAIN__
     1.77%  spindec  libc.so.6                       [.] __nss_database_lookup
     1.36%  spindec  libopen-pal.so.40.30.2          [.] ompi_sync_wait_mt
     1.24%  spindec  libc.so.6                       [.] __pthread_mutex_lock
     1.20%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility._omp_fn.2
     0.94%  spindec  libc.so.6                       [.] __pthread_mutex_trylock
     0.77%  spindec  mca_btl_vader.so                [.] mca_btl_vader_poll_handle_frag
     0.69%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dy._omp_fn.1
     0.64%  spindec  libopen-pal.so.40.30.2          [.] opal_progress@plt
     0.62%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx._omp_fn.1
     0.59%  spindec  spindec                         [.] __potentials_MOD_bulk_potential
     0.55%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx._omp_fn.1
     0.54%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy._omp_fn.1
     0.38%  spindec  libnetcdf.so.19                 [.] ncx_putn_ulonglong_ulonglong
     0.25%  spindec  [unknown]                       [k] 0xffffffff89a010a7
     0.24%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx._omp_fn.0
     0.22%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_send
     0.21%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.2
     0.17%  spindec  spindec                         [.] __comms_MOD_comms_get_global_grid
     0.17%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_match_completion_free
     0.16%  spindec  libc.so.6                       [.] __default_morecore
     0.14%  spindec  libnetcdf.so.19                 [.] fill_NC_var
     0.14%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_frag_callback_match
     0.13%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv
     0.13%  spindec  spindec                         [.] __comms_MOD_comms_halo_swaps
     0.13%  spindec  mca_pml_ob1.so                  [.] append_frag_to_list
     0.13%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_req_start
     0.13%  spindec  libc.so.6                       [.] __libc_alloca_cutoff
     0.11%  spindec  [unknown]                       [k] 0xffffffff89a00158
     0.10%  spindec  mca_btl_vader.so                [.] vader_prepare_src
     0.09%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_alloc
     0.08%  spindec  mca_pml_ob1.so                  [.] ompi_request_wait_completion
     0.08%  spindec  mca_btl_vader.so                [.] mca_btl_vader_send
     0.07%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.2
     0.06%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_request_progress_match
     0.06%  spindec  libc.so.6                       [.] pthread_cond_destroy
     0.06%  spindec  libc.so.6                       [.] __libc_malloc
     0.06%  spindec  libgomp.so.1.0.0                [.] omp_get_num_procs
     0.05%  spindec  libgomp.so.1.0.0                [.] omp_fulfill_event
     0.04%  spindec  libmpi.so.40.30.3               [.] PMPI_Comm_f2c
     0.04%  spindec  mca_pml_ob1.so                  [.] match_one
     0.04%  spindec  libmpi.so.40.30.3               [.] PMPI_Type_f2c
     0.04%  spindec  libnetcdf.so.19                 [.] px_get
     0.03%  spindec  libmpi.so.40.30.3               [.] PMPI_Recv
     0.03%  spindec  libnetcdf.so.19                 [.] px_pgin.isra.7
